	0	1	2	3	4	5	6	7	8	9	10	11	group	GENCODE	AnnoMore2	AnnoMore1	AnnoMore1_DeepPASS	pas_region	mapped_genes	PAS_name	gene_name	pas_subclassified	PAS_index_from5p	visual_name
0	1	89315	89704	ENSG00000238009|27270	0	-	89315	89704	0	1	389,	0,	27270	False	True	True	False	exon	ENSG00000238009	ENSG00000238009-1	ENSG00000238009	exon	1	ENSG00000238009:1_nce
1	1	629733	630167	MTND2P28|62715	0	+	629733	630167	0	1	434,	0,	62715	False	True	True	False	exon	MTND2P28	MTND2P28-1	MTND2P28	exon	1	MTND2P28:1_nce
2	1	630110	630525	MTND2P28|62716	0	+	630110	630525	0	1	415,	0,	62716	False	True	True	False	exon	MTND2P28	MTND2P28-2	MTND2P28	exon	2	MTND2P28:2_nce
3	1	632111	632522	MTCO1P12|62467	0	+	632111	632522	0	1	411,	0,	62467	False	True	True	False	exon	MTCO1P12	MTCO1P12-1	MTCO1P12	exon	1	MTCO1P12:1_nce
4	1	633824	634234	MTATP6P1|62436	0	+	633824	634234	0	1	410,	0,	62436	False	True	True	True	exon	MTATP6P1	MTATP6P1-1	MTATP6P1	exon	1	MTATP6P1:1_nce
5	1	634376	634922	MTCO3P12|62469	0	+	634376	634922	0	1	546,	0,	62469	False	True	True	True	exon	MTCO3P12	MTCO3P12-1	MTCO3P12	exon	1	MTCO3P12:1_nce
6	1	784437	801876	LINC01409|54600	0	+	784437	801876	0	2	56,270,	0,17169,	54600	True	True	True	True	exon	LINC01409	LINC01409-5	LINC01409	exon	5	LINC01409:5_nce
7	1	784493	784759	LINC01409|54601	0	+	784493	784759	0	1	266,	0,	54601	True	False	False	False	exon	LINC01409	LINC01409-1	LINC01409	exon	1	LINC01409:1_nce
8	1	786985	787186	LINC01409|54604	0	+	786985	787186	0	1	201,	0,	54604	False	True	True	False	exon	LINC01409	LINC01409-2	LINC01409	exon	2	LINC01409:2_nce
9	1	787405	787672	LINC01409|54602	0	+	787405	787672	0	1	267,	0,	54602	True	True	True	True	exon	LINC01409	LINC01409-3	LINC01409	exon	3	LINC01409:3_nce
